"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Kobe Corbanie",65,74,53,62,66,60,49,73,75,39,48,65,59,35,66,53,68,42,67,60,60,67,70,65,45,69,58,62,48,53,67,68,49,56,41,62,"RB",2,2,"Right",179,71,"",19,"Belgium","1A Pro League","Royal Antwerp FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kobe-corbanie/273537",NA,NA,NA,NA,NA,"M"
"Juan Cornejo",65,74,57,63,63,63,72,72,75,59,54,72,57,47,30,55,65,72,64,64,72,65,71,53,66,59,61,62,65,63,63,66,80,70,76,61,"CB",2,2,"Left",175,81,"LB",34,"Chile","Sudamericana","Coquimbo Unido","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-cornejo/213591",NA,NA,NA,NA,NA,"M"
"Miguel Cornejo",65,65,64,59,66,61,54,65,65,65,64,64,68,43,65,63,39,66,64,68,47,67,70,70,60,66,55,65,39,65,63,61,50,65,55,39,"CAM",2,4,"Right",167,62,"CM",24,"Peru","Sudamericana","Dep. Garcilaso","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/miguel-cornejo/256185",NA,NA,NA,NA,NA,"M"
"Valentin Costache",65,75,61,58,68,29,62,75,75,60,60,68,60,49,50,58,61,46,61,54,58,68,76,71,61,66,62,29,54,30,22,23,65,66,59,65,"RM",3,3,"Right",178,71,"LM, ST, RW",26,"Romania","SUPERLIGA","UTA Arad","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/valentin-costache/244143",NA,NA,NA,NA,NA,"M"
"Cristian Costin",65,83,53,58,65,58,67,85,82,60,56,58,47,38,41,58,60,38,60,57,50,62,81,88,56,61,60,56,55,57,60,60,74,82,60,62,"RB",3,3,"Right",177,73,"RM",26,"Romania","SUPERLIGA","FC Dinamo 1948","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristian-costin/251022",NA,NA,NA,NA,NA,"M"
"Matthew Cox",65,67,63,65,66,30,65,33,26,NA,NA,49,NA,NA,10,42,NA,10,35,36,13,NA,36,43,51,21,40,NA,NA,NA,10,11,41,23,38,20,"GK",3,1,"Right",182,74,"",21,"England","Premier League","Brentford","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matthew-cox/256488",67,63,65,65,66,"M"
"Valerio Crespi",65,78,63,57,63,34,68,80,76,64,64,65,58,65,71,58,55,57,59,53,61,61,73,72,63,60,60,35,64,27,32,27,84,57,79,50,"ST",3,3,"Left",185,75,"",20,"Italy","Serie BKT","Südtirol","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/valerio-crespi/277692",NA,NA,NA,NA,NA,"M"
"Valentin Crețu",65,69,31,53,58,60,75,68,69,57,26,50,20,20,37,46,56,42,58,50,45,53,77,77,58,57,50,61,49,58,65,63,63,84,70,81,"RB",2,2,"Right",176,71,"",35,"Romania","SUPERLIGA","FCSB","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/valentin-cretu/247968",NA,NA,NA,NA,NA,"M"
"Max Crocombe",65,65,65,62,65,47,63,46,49,12,14,47,19,20,21,40,24,21,34,35,19,16,54,42,61,21,45,25,23,10,21,21,62,38,58,41,"GK",2,1,"Right",194,88,"",31,"New Zealand","EFL League One","Burton Albion","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/max-crocombe/206566",65,65,62,63,65,"M"
"Svenn Crone",65,75,41,58,64,59,66,75,75,58,37,49,37,42,37,56,59,48,61,56,54,62,79,72,65,63,56,59,50,60,60,59,65,79,60,67,"RB",3,2,"Right",182,76,"",29,"Denmark","Eliteserien","SK Brann","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/svenn-crone/223861",NA,NA,NA,NA,NA,"M"
"Héctor Cuellar",65,63,60,64,61,56,71,66,60,61,61,58,64,49,50,69,53,50,70,66,58,65,53,63,58,61,45,57,61,48,64,50,73,72,74,62,"CM",3,2,"Right",180,74,"CDM, RB",24,"Bolivia","Sudamericana","Always Ready","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hector-cuellar/69960",NA,NA,NA,NA,NA,"M"
"Brahian Cuello",65,81,63,61,65,31,62,76,85,60,61,67,63,60,67,62,62,46,65,57,52,66,73,81,48,64,45,24,47,30,30,30,65,64,63,58,"LM",3,3,"Right",170,66,"RM, LW",26,"Argentina","Primera División","Instituto","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brahian-cuello/266341",NA,NA,NA,NA,NA,"M"
"Mladen Cvjetinovic",65,63,25,40,45,65,70,64,63,28,17,44,20,31,32,32,35,23,48,45,33,29,55,50,59,61,59,59,61,64,69,68,73,64,74,68,"CB",3,2,"Left",188,80,"",20,"Germany","3. Liga","FC Ingolstadt 04","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mladen-cvjetinovic/263874",NA,NA,NA,NA,NA,"M"
"Lennart Czyborra",65,73,46,59,64,60,69,70,75,58,32,71,57,30,33,47,63,70,62,56,71,62,75,70,62,63,64,63,48,57,63,61,63,70,69,69,"LB",3,2,"Left",178,72,"",25,"Germany","Ö. Bundesliga","WSG Tirol","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lennart-czyborra/244840",NA,NA,NA,NA,NA,"M"
"Pedro Moreira",65,35,63,62,62,62,67,36,34,66,63,67,63,52,51,67,50,50,67,64,67,60,57,60,65,64,69,65,60,60,64,61,59,66,69,66,"CM",3,3,"Right",182,76,"CDM",35,"Portugal","Liga Portugal","Arouca","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedro-moreira/199848",NA,NA,NA,NA,NA,"M"
"Erdon Daci",65,65,67,59,65,26,60,63,66,64,68,70,61,65,65,58,63,66,58,50,64,67,61,61,65,64,60,19,62,29,17,17,68,58,65,48,"ST",3,2,"Left",183,75,"LM",26,"North Macedonia","1A Pro League","KVC Westerlo","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erdon-daci/241392",NA,NA,NA,NA,NA,"M"
"Fredrik K. Dahl",65,67,41,54,60,65,66,69,66,45,39,52,38,35,36,48,56,35,59,56,49,57,70,72,64,59,56,64,64,66,66,64,74,64,71,56,"CB",3,3,"Left",185,77,"",25,"Norway","Eliteserien","Strømsgodset IF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fredrik-k-dahl/273893",NA,NA,NA,NA,NA,"M"
"Pontus Dahlberg",65,67,62,61,68,39,66,39,39,NA,NA,46,19,NA,12,44,11,11,28,40,10,10,24,21,48,28,53,NA,11,22,13,13,58,35,61,30,"GK",3,1,"Right",194,86,"",25,"Sweden","Allsvenskan","IFK Göteborg","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pontus-dahlberg/233763",67,62,61,66,68,"M"
"Leon Dajaku",65,76,60,60,66,21,63,74,77,62,60,62,61,54,58,59,64,57,59,56,60,66,76,71,62,65,55,14,57,20,16,21,70,67,63,55,"RM",4,3,"Right",180,75,"CAM, LW, RW",23,"Germany","Liga Hrvatska","Hajduk Split","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leon-dajaku/246416",NA,NA,NA,NA,NA,"M"
"Marc Dal Hende",65,67,57,58,62,62,81,64,69,53,57,63,50,61,52,56,59,42,61,57,55,61,56,73,61,64,58,58,66,61,64,61,79,77,83,80,"LB",3,3,"Left",181,75,"LM",33,"Denmark","3F Superliga","Sønderjyske","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-dal-hende/215938",NA,NA,NA,NA,NA,"M"
"Dalmau",65,67,67,52,65,40,57,68,66,68,67,68,67,54,68,53,53,47,56,41,62,64,70,66,63,64,66,34,70,45,33,27,69,60,59,45,"ST",3,3,"Right",182,70,"",30,"Spain","PKO BP Ekstraklasa","Korona Kielce","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dalmau/231601",NA,NA,NA,NA,NA,"M"
"Bence Dárdai",65,65,54,64,67,24,47,63,67,49,59,48,47,50,60,72,50,62,70,62,53,66,71,69,65,68,65,23,51,20,22,20,51,58,46,34,"CAM",3,3,"Right",189,71,"CM",18,"Germany","Bundesliga","VfL Wolfsburg","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bence-dardai/259522",NA,NA,NA,NA,NA,"M"
"Juande",65,65,35,51,50,65,65,66,65,29,35,44,25,31,46,51,35,32,60,63,37,47,53,56,62,52,50,67,63,64,66,65,74,49,74,61,"CB",3,2,"Right",185,78,"",25,"Spain","LALIGA HYPERMOTION","CD Tenerife","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juande/255158",NA,NA,NA,NA,NA,"M"
"Kevin De La Hoz",65,65,42,50,54,65,67,55,73,35,36,45,56,32,51,40,48,36,62,42,44,41,64,73,66,65,48,62,65,64,68,65,67,65,68,65,"RB",3,2,"Right",172,70,"CB",26,"Venezuela","Sudamericana","Metropolitanos","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-de-la-hoz/254646",NA,NA,NA,NA,NA,"M"
"Francesco De Rose",65,70,49,60,64,61,71,74,66,53,41,61,55,49,53,64,55,51,62,61,53,57,80,87,68,63,67,61,58,63,61,59,71,79,65,74,"CDM",3,2,"Right",169,71,"CM",37,"Italy","Serie BKT","Cesena","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/francesco-de-rose/202711",NA,NA,NA,NA,NA,"M"
"Luís Phelipe",65,79,56,61,70,45,69,78,79,57,55,61,57,48,42,60,61,45,64,58,66,72,73,59,55,70,65,47,57,45,40,39,74,68,70,66,"LW",3,3,"Right",187,75,"RW, CAM, LM",23,"Brazil","SUPERLIGA","FCSB","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-phelipe/251999",NA,NA,NA,NA,NA,"M"
"Nils De Wilde",65,70,54,59,66,60,64,69,71,54,51,55,58,52,54,57,46,52,68,61,52,64,65,62,65,71,52,69,60,53,63,52,68,70,62,58,"CDM",3,2,"Right",182,67,"CM",21,"Belgium","1A Pro League","Cercle Brugge","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nils-de-wilde/262026",NA,NA,NA,NA,NA,"M"
"Robbie Deas",65,53,32,47,56,65,63,50,55,29,26,48,31,25,38,39,30,28,62,56,40,51,64,51,61,60,51,63,69,66,66,62,67,50,69,62,"CB",3,2,"Left",188,75,"LB",24,"Scotland","Scottish Prem","Kilmarnock","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robbie-deas/277288",NA,NA,NA,NA,NA,"M"
"Duccio Degli Innocenti",65,71,51,64,65,61,67,69,72,55,47,60,50,50,48,60,59,56,70,66,59,63,67,68,65,66,60,59,56,60,63,63,68,67,67,66,"CDM",3,2,"Right",180,74,"CM",21,"Italy","Serie BKT","Spezia","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/duccio-degli-innocenti/271922",NA,NA,NA,NA,NA,"M"
"Carlos Delgado",65,43,36,51,51,67,66,50,38,41,25,51,39,50,42,51,37,47,59,51,46,43,60,46,64,58,59,69,63,64,70,66,73,71,66,60,"CB",3,2,"Left",185,76,"",34,"Spain","ISL","Odisha FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlos-delgado/200727",NA,NA,NA,NA,NA,"M"
"Mickey Demetriou",65,51,47,55,57,63,75,50,52,46,43,58,45,38,60,42,57,56,59,60,54,54,58,70,61,57,60,64,66,63,63,62,80,81,76,65,"CB",3,2,"Left",188,79,"",33,"England","EFL League Two","Crewe Alexandra","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mickey-demetriou/223381",NA,NA,NA,NA,NA,"M"
"Yohan Demoncy",65,63,48,64,65,60,75,65,62,62,43,61,48,34,49,64,63,60,68,65,44,64,68,70,64,65,66,60,61,58,61,64,70,86,70,73,"CM",2,3,"Right",181,75,"CDM, CAM",28,"France","Ligue 2 BKT","FC Annecy","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yohan-demoncy/234799",NA,NA,NA,NA,NA,"M"
"Kyle Dempsey",65,72,60,63,65,60,70,74,70,62,60,62,63,47,48,64,59,63,65,64,61,64,69,73,63,65,65,62,51,60,62,59,74,84,62,73,"CM",3,3,"Right",178,75,"CAM",28,"England","EFL League One","Bolton","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kyle-dempsey/221705",NA,NA,NA,NA,NA,"M"
"Đorđe Denić",65,71,60,63,64,61,69,72,71,63,60,64,58,48,53,67,57,46,67,65,54,63,63,67,64,65,64,65,48,62,62,59,64,76,66,67,"CM",3,3,"Right",182,80,"CAM, CDM",28,"Serbia","CSL","Henan FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/or-e-denic/245754",NA,NA,NA,NA,NA,"M"
"Alfie Devine",65,66,59,63,65,52,57,65,67,65,59,65,55,51,52,65,57,41,68,66,63,64,69,68,62,66,62,52,59,45,54,60,62,56,55,61,"CAM",3,3,"Right",180,75,"CM",20,"England","Premier League","Spurs","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alfie-devine/264180",NA,NA,NA,NA,NA,"M"
"Yadaly Diaby",65,81,59,60,68,32,58,80,82,58,58,62,57,54,61,65,60,56,60,51,65,69,79,57,56,68,64,21,46,32,35,31,64,48,59,66,"LM",4,3,"Right",184,76,"ST, LW",24,"Guinea","Ligue 2 BKT","Clermont Foot 63","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yadaly-diaby/265689",NA,NA,NA,NA,NA,"M"
"Mamady Diambou",65,74,52,59,66,60,65,78,71,36,48,68,58,31,38,59,48,40,71,61,38,63,81,79,55,69,52,58,56,58,65,63,66,77,54,79,"CDM",3,3,"Right",176,69,"CM",21,"Mali","Ö. Bundesliga","RB Salzburg","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mamady-diambou/260235",NA,NA,NA,NA,NA,"M"
"Sory Ibrahim Diarra",65,78,64,49,57,26,73,76,80,67,68,67,52,62,62,55,40,34,57,41,36,53,71,56,60,57,66,20,66,20,23,22,84,72,80,55,"ST",3,2,"Right",187,80,"",24,"Mali","Eliteserien","FK Haugesund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sory-ibrahim-diarra/269414",NA,NA,NA,NA,NA,"M"
"Vagner",65,79,66,63,70,31,57,81,78,66,65,69,67,63,68,64,62,69,62,61,62,68,90,80,65,67,65,24,49,21,39,32,64,53,55,64,"ST",3,4,"Right",168,67,"LM",28,"Cape Verde Islands","PKO BP Ekstraklasa","Radomiak Radom","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vagner/241923",NA,NA,NA,NA,NA,"M"
"Justin Diehl",65,81,66,55,70,22,45,79,82,60,69,68,58,61,65,59,49,40,59,54,62,70,80,76,61,70,51,19,57,18,17,20,58,60,39,40,"LM",3,3,"Right",174,67,"ST, LW",19,"Germany","Bundesliga","VfB Stuttgart","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/justin-diehl/273667",NA,NA,NA,NA,NA,"M"
"Lars Dietz",65,62,37,53,58,63,73,55,68,38,29,56,37,34,38,55,43,35,60,60,38,57,63,53,61,58,63,65,65,60,64,62,74,66,79,67,"CB",3,2,"Right",190,79,"",27,"Germany","3. Liga","Viktoria Köln","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lars-dietz/241995",NA,NA,NA,NA,NA,"M"
"Marko Divković",65,80,58,62,65,56,64,77,82,61,56,66,53,53,57,65,64,48,66,54,51,63,75,68,62,67,60,58,57,55,57,55,73,78,65,42,"LB",2,3,"Left",181,72,"LM",25,"Croatia","3F Superliga","Brøndby IF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marko-divkovic/264515",NA,NA,NA,NA,NA,"M"
"Lewis Dobbin",65,79,62,57,68,41,52,78,80,64,64,64,57,57,63,64,54,39,61,49,58,68,76,74,62,65,60,30,53,40,44,40,63,61,53,36,"LM",2,3,"Right",175,71,"ST, LW",21,"England","EFL Championship","West Brom","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lewis-dobbin/264039",NA,NA,NA,NA,NA,"M"
"Christos Donis",65,69,63,64,66,60,71,69,69,64,61,70,65,60,53,62,63,60,66,63,60,65,69,59,65,66,67,60,53,61,60,61,68,74,71,67,"CDM",3,3,"Right",185,74,"",29,"Greece","PKO BP Ekstraklasa","Radomiak Radom","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christos-donis/210401",NA,NA,NA,NA,NA,"M"
"Nick Doodeman",65,73,61,59,67,29,51,75,72,65,63,60,58,53,53,57,64,52,60,55,57,68,74,77,56,66,50,23,40,24,32,31,52,66,51,30,"RW",3,3,"Right",173,62,"RM",27,"Holland","Eredivisie","Willem II","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nick-doodeman/262256",NA,NA,NA,NA,NA,"M"
"Robson",65,73,38,51,44,62,76,70,75,33,37,40,35,33,54,25,57,49,60,58,44,33,45,65,66,51,49,64,63,62,62,59,78,71,80,70,"CB",2,2,"Right",178,71,"RB",31,"Brazil","Sudamericana","Wilstermann","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robson/259835",NA,NA,NA,NA,NA,"M"
"Daniel Dos Santos",65,65,58,65,65,39,50,64,65,63,60,56,55,52,56,66,61,59,68,65,56,64,62,73,65,67,64,21,41,39,48,49,45,63,47,41,"CAM",3,3,"Right",176,70,"CM",21,"Switzerland","CSSL","FC Lugano","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-dos-santos/73151",NA,NA,NA,NA,NA,"M"
"Diogo Calila",65,70,47,56,67,61,66,72,69,60,46,52,42,39,46,48,66,38,61,46,68,66,72,68,63,66,68,61,45,64,61,64,64,65,68,64,"RB",3,3,"Right",180,76,"LB",25,"Portugal","Liga Portugal","Santa Clara","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diogo-calila/246974",NA,NA,NA,NA,NA,"M"
"Anderson",65,77,55,56,67,62,76,75,78,54,54,66,58,36,36,44,64,38,61,54,58,66,76,70,64,67,63,67,60,61,61,59,79,82,76,66,"RM",3,3,"Right",184,84,"RB, RW",26,"Brazil","Ö. Bundesliga","Blau-Weiss Linz","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anderson/247041",NA,NA,NA,NA,NA,"M"
"Micael",65,70,26,45,51,64,71,64,74,30,18,43,23,23,36,30,20,24,66,65,24,51,46,61,60,51,47,65,60,63,66,60,75,61,78,65,"CB",2,2,"Left",191,82,"",24,"Brazil","MLS","Houston Dynamo","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/micael/274396",NA,NA,NA,NA,NA,"M"
"Damion Downs",65,68,65,51,60,24,58,67,69,66,70,64,55,54,68,51,42,40,62,41,59,61,55,50,60,62,56,18,70,20,18,20,72,51,67,43,"ST",3,2,"Right",192,80,"",20,"United States","Bundesliga 2","1. FC Köln","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/damion-downs/274944",NA,NA,NA,NA,NA,"M"
"Issiar Dramé",65,68,26,40,49,65,70,70,66,32,19,40,25,28,32,40,29,22,49,41,30,40,69,46,60,52,55,61,69,64,69,63,79,60,77,62,"CB",2,2,"Right",197,80,"",25,"Mali","Liga Portugal","Estrela Amadora","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/issiar-drame/264743",NA,NA,NA,NA,NA,"M"
"Manuel Duarte",65,72,64,65,67,46,57,73,72,67,64,65,65,60,60,65,63,57,68,67,61,67,76,71,59,65,55,57,45,25,56,55,56,66,52,58,"CM",2,3,"Right",171,68,"CAM, RM",23,"Argentina","Primera División","Barracas Central","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-duarte/269690",NA,NA,NA,NA,NA,"M"
"Edoardo Duca",65,66,61,65,67,58,60,60,71,62,60,65,63,59,55,61,62,60,68,66,65,66,66,76,70,68,60,60,51,59,59,57,54,75,53,62,"CAM",3,3,"Right",178,75,"CM",27,"Italy","Serie BKT","Modena","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/edoardo-duca/268926",NA,NA,NA,NA,NA,"M"
"Michael Duffy",65,78,60,61,67,39,54,78,78,60,61,61,58,63,59,61,63,59,62,56,64,67,77,74,61,64,65,40,52,31,42,39,65,61,55,41,"LM",4,4,"Right",179,75,"LW",30,"Republic of Ireland","SSE Airtricity PD","Derry City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michael-duffy/210263",NA,NA,NA,NA,NA,"M"
"Tomás Durso",65,66,58,55,69,26,69,33,15,NA,NA,41,NA,NA,10,25,12,14,25,39,10,14,52,48,58,11,37,NA,13,15,13,10,51,23,52,21,"GK",2,1,"Right",185,80,"",25,"Argentina","Primera División","Atlético Tucumán","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tomas-durso/240955",66,58,55,69,69,"M"
"Daniel Edelman",65,70,39,56,56,66,67,67,72,50,38,45,34,36,38,62,46,41,64,55,43,50,71,67,63,57,63,65,68,65,66,64,68,73,59,77,"CDM",4,3,"Right",178,64,"CM",21,"United States","MLS","Red Bulls","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-edelman/266033",NA,NA,NA,NA,NA,"M"
"Malcom Edjouma",65,64,62,61,63,66,84,65,64,66,63,69,58,59,46,67,52,40,66,61,51,62,60,76,66,62,67,69,67,64,67,60,83,79,92,69,"CM",3,3,"Right",191,88,"CDM",27,"Morocco","SUPERLIGA","FCSB","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/malcom-edjouma/242325",NA,NA,NA,NA,NA,"M"
"Daniel Eid",65,78,55,57,59,57,68,78,78,54,52,69,55,49,32,48,65,50,58,57,64,57,63,60,58,62,46,55,50,57,61,58,70,81,69,51,"RB",3,2,"Right",183,73,"",25,"Norway","Eliteserien","Fredrikstad FK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-eid/266606",NA,NA,NA,NA,NA,"M"
"Noah Eile",65,73,26,45,49,63,72,66,78,30,22,39,21,28,32,35,21,21,65,57,28,40,59,35,58,59,51,66,58,64,62,60,73,62,76,74,"CB",3,2,"Right",195,83,"",22,"Sweden","MLS","Red Bulls","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noah-eile/260001",NA,NA,NA,NA,NA,"M"
"Anouar El Azzouzi",65,57,43,55,63,60,71,59,56,35,37,65,36,42,50,50,35,32,68,65,52,64,60,45,61,66,63,63,66,55,60,64,71,72,71,68,"CDM",3,2,"Right",187,75,"",23,"Morocco","Eredivisie","PEC Zwolle","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anouar-el-azzouzi/276632",NA,NA,NA,NA,NA,"M"
"Agon Elezi",65,67,56,62,61,64,57,68,66,57,51,65,57,47,59,60,54,55,68,69,52,60,68,63,63,60,53,62,62,61,67,68,60,67,48,68,"CDM",3,3,"Right",181,71,"RM, CM",23,"North Macedonia","Bundesliga","VfL Bochum 1848","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/agon-elezi/70579",NA,NA,NA,NA,NA,"M"
"Mikael Egill Ellertsson",65,69,68,64,70,61,54,74,64,64,68,71,71,60,64,61,60,49,70,66,66,72,73,68,59,71,59,57,53,57,70,62,66,39,61,54,"CM",3,3,"Left",182,74,"LM, RM",22,"Iceland","Serie A Enilive","Venezia","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mikael-egill-ellertsson/264436",NA,NA,NA,NA,NA,"M"
"Mario Engels",65,82,64,59,66,27,66,81,82,65,64,68,60,58,70,60,60,59,62,50,65,64,71,73,63,65,69,23,54,30,19,20,63,69,64,70,"ST",4,3,"Right",184,74,"LM, RM",30,"Germany","Eredivisie","Heracles Almelo","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mario-engels/223370",NA,NA,NA,NA,NA,"M"
"Mads Enggård",65,65,56,60,67,60,58,66,65,62,57,58,56,45,42,64,45,45,68,64,51,65,72,70,64,68,63,63,44,60,62,60,50,64,54,62,"CM",3,2,"Right",179,67,"",20,"Denmark","Eliteserien","Molde FK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mads-enggard/259134",NA,NA,NA,NA,NA,"M"
"Jusef Erabi",65,80,64,49,65,26,76,80,80,68,71,57,60,46,56,58,37,38,58,40,35,66,67,58,53,68,59,23,55,20,24,23,82,73,83,63,"ST",3,3,"Right",183,84,"",21,"Sweden","Allsvenskan","Hammarby IF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jusef-erabi/268597",NA,NA,NA,NA,NA,"M"
"Victor Eriksson",65,62,36,49,48,63,76,55,68,36,28,58,29,36,39,34,38,35,64,60,27,42,46,48,62,54,59,63,64,64,62,61,75,70,81,72,"CB",3,2,"Right",192,82,"",23,"Sweden","Allsvenskan","Hammarby IF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victor-eriksson/266337",NA,NA,NA,NA,NA,"M"
"Ertuğrul Ersoy",65,49,29,42,50,64,76,54,44,28,22,45,29,31,33,36,23,29,54,53,34,49,48,54,62,48,58,61,64,63,67,66,73,71,80,75,"CB",3,2,"Right",187,82,"",27,"Turkey","Trendyol Süper Lig","Gaziantep","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ertugrul-ersoy/224489",NA,NA,NA,NA,NA,"M"
"Tiri",65,50,38,54,49,66,72,53,48,43,28,55,38,55,33,48,56,35,58,59,36,53,34,30,55,50,55,67,63,70,63,62,72,65,80,61,"CB",3,2,"Left",186,84,"LB",33,"Spain","ISL","Mumbai City FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tiri/248311",NA,NA,NA,NA,NA,"M"
"Santiago Etchebarne",65,58,25,37,37,67,73,48,67,23,22,31,23,21,35,29,26,21,48,42,27,25,42,53,51,48,46,69,56,72,64,63,69,57,84,65,"CB",4,2,"Right",178,83,"",30,"Uruguay","Sudamericana","Danubio","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/santiago-etchebarne/266837",NA,NA,NA,NA,NA,"M"
"Jean Lambert Evan's",65,70,45,57,64,61,63,72,69,54,41,56,42,35,48,48,66,38,62,56,44,67,69,56,52,64,52,59,59,62,64,58,69,70,61,56,"LB",2,3,"Left",180,70,"LM",25,"France","Ligue 2 BKT","Pau FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jean-lambert-evan-s/253041",NA,NA,NA,NA,NA,"M"
"George Evans",65,61,60,62,61,64,69,59,63,57,59,68,61,56,48,59,58,55,64,66,64,59,62,62,64,64,63,65,62,63,65,63,71,63,72,66,"CDM",3,2,"Right",184,76,"CM, CB",29,"England","EFL League One","Wrexham","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/george-evans/211595",NA,NA,NA,NA,NA,"M"
"Will Evans",65,73,63,58,61,50,74,75,72,64,67,64,58,62,45,56,60,41,60,58,59,62,57,60,63,62,58,51,63,45,50,48,77,90,71,61,"ST",4,2,"Left",185,82,"",27,"Wales","EFL League One","Mansfield Town","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/will-evans/269329",NA,NA,NA,NA,NA,"M"
"Omar Faraj",65,72,61,47,66,23,76,71,73,65,62,66,56,53,56,50,32,32,60,42,40,64,66,83,63,65,68,20,61,16,20,18,84,53,89,68,"ST",3,3,"Right",182,77,"CAM",22,"Palestine","Allsvenskan","AIK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/omar-faraj/270718",NA,NA,NA,NA,NA,"M"
